Name,Price,Price_Origin,LINK,IMG,RATING
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/512GB) - Hàng chính hãng,26.490.000 ₫,29.990.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-s23-plus-5g-8gb-512gb-hang-chinh-hang-p216174672.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.216174680&itm_medium=CPC&itm_source=tiki-reco&spid=216174680
",https://salt.tikicdn.com/cache/200x280/ts/product/c2/06/23/13fda8be47a320e3328e05ec0c8da578.png,None

Điện Thoại Vivo V25 Pro 5G (8GB/128GB) - Hàng Chính Hãng,12.090.000 ₫,13.990.000 ₫,"https://tiki.vn/dien-thoai-vivo-v25-pro-5g-8gb-128gb-hang-chinh-hang-p202269832.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.202332195&itm_medium=CPC&itm_source=tiki-reco&spid=202332195
",https://salt.tikicdn.com/cache/200x280/ts/product/50/c1/c3/0e7684cd9faf76e3e65d60ba31f17f3a.png,None

Điện thoại Samsung Galaxy Z Fold 4 (12GB/512GB) - Hàng chính hãng,39.831.000 ₫,42.000.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-z-fold-12gb-512gb-hang-chinh-hang-p194041977.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.196284828&itm_medium=CPC&itm_source=tiki-reco&spid=196284828
",https://salt.tikicdn.com/cache/200x280/ts/product/9a/5e/bb/16781d1cc45d9598564994ee8ab762e6.jpg,None

Điện thoại Samsung Galaxy Z Flip4 5G - Hàng chính hãng,16.611.000 ₫,20.250.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-z-flip4-5g-hang-chinh-hang-p194961039.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.207924034&itm_medium=CPC&itm_source=tiki-reco&spid=207924034
",https://salt.tikicdn.com/cache/200x280/ts/product/e5/05/f4/ae140d9e3d536db3ed15d4e1d6d1bf96.jpg,None

Điện Thoại Samsung Galaxy A13 (4GB/64GB) - Hàng Chính Hãng,3.473.000 ₫,4.190.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-a13-4gb-64gb-hang-chinh-hang-p187254759.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.196284379&itm_medium=CPC&itm_source=tiki-reco&spid=196284379
",https://salt.tikicdn.com/cache/200x280/ts/product/90/33/6d/bfdc471592d5a2c75bd3359bea8c0cc6.jpg,None

