Name,Price,Price_Origin,ROM,PIN,LINK,IMG,RATING
Samsung Galaxy A54 8GB 256GB,9.790.000 ₫,11.490.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nmicroSDXC'],['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nSạc nhanh 25W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-a54-8gb-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/m/sm-a546_galaxy_a54_5g_awesome_graphite_front_2.png",0/5
Xiaomi Poco F4,8.090.000 ₫,8.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n6 GB\nBộ nhớ trong\n128 GB'],['Pin & công nghệ sạc\nPin\n4500 mAh\nCông nghệ sạc\nSạc nhanh 67W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-poco-f4.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/x/i/xiaomi_poco_f4_negro_01_l.jpg",4.5/5
realme 9 Pro Plus,6.290.000 ₫,9.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB'],['Pin & công nghệ sạc\nPin\n4500mAh\nCông nghệ sạc\nSạc nhanh 60W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/realme-9-pro-plus.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/9/_/9_pro_plus.png",0/5
vivo T1X,3.990.000 ₫,4.490.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4GB + Mở rộng 1GB\nBộ nhớ trong\n64 GB'],['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nSạc nhanh 18W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/vivo-t1x.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/t/1/t1x_01.png",5.0/5
Samsung Galaxy S21 FE 8GB 128GB,11.450.000 ₫,16.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nKhông'],"['Pin & công nghệ sạc\nPin\n4500mAh\nCông nghệ sạc\nSạc nhanh: 25W\nSạc nhanh không dây 15W\nSạc không dây ngược 4,5W\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/samsung-galaxy-s21-fe-8gb-128gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/m/sm-g990_s21fe_backfront_za.png",4.2/5
OPPO Reno8 T 256GB,7.890.000 ₫,8.490.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nHỗ trợ thẻ nhớ tối đa 2TB'],['Pin & công nghệ sạc\nPin\n5000mAh (Typ)\nCông nghệ sạc\nSiêu sạc nhanh superVOOC 33W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/oppo-reno-8t-4g-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/6/3/638106969904674603_oppo-reno8-t-4g-den-5.jpg",0/5
Samsung Galaxy A73 128GB,10.090.000 ₫,11.990.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nMicroSD, hỗ trợ tối đa 1 TB']",['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nSạc nhanh 25W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-a73-128gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/a/samsung-galaxy-a73-5g-den1.jpg",4.5/5
Realme 9 4G 8GB 128GB,4.390.000 ₫,6.990.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nMicroSD, hỗ trợ tối đa 256 GB']",['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nSạc nhanh 33 W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/realme-9.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/i/i/iio.jpg",0/5
Nokia C21 Plus 2GB 64GB,1.890.000 ₫,2.890.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n2 GB\nBộ nhớ trong\n64 GB\nKhe cắm thẻ nhớ\nMicroSD, hỗ trợ tối đa 256 GB']",['Pin & công nghệ sạc\nPin\n5050 mAh\nCổng sạc\nMicro-USB'],"https://cellphones.com.vn/nokia-c21-plus-2gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/n/o/nokia-c21-plus-600x600.jpg",0/5
iPhone 14 Plus 256GB | Chính hãng VN/A,24.990.000 ₫,27.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n6 GB\nBộ nhớ trong\n256 GB'],"['Pin & công nghệ sạc\nCông nghệ sạc\nDeep Fusion, Smart HDR 4,Panorama, Chụp đêm, Chân dung, QuickTake video, Time‑lapse, Slo-mo video\nCổng sạc\nLightning']","https://cellphones.com.vn/iphone-14-plus-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_6.jpg",0/5
Xiaomi POCO M5 4GB 64GB,3.400.000 ₫,3.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n64 GB\nKhe cắm thẻ nhớ\nmicroSDXC'],['Pin & công nghệ sạc\nPin\nLi-Po 5000 mAh\nCông nghệ sạc\nSạc nhanh 18W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-poco-m5.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/f/v/fvssxa.jpg",5.0/5
vivo Y22S 8GB 128GB,5.490.000 ₫,5.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8GB + Mở rộng 8GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nCó'],['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nHỗ trợ sạc 18W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/vivo-y22s.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/5/4/542434226.jpeg",5.0/5
Samsung Galaxy A04,2.490.000 ₫,2.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n3 GB\nBộ nhớ trong\n32 GB\nKhe cắm thẻ nhớ\nmicroSD'],['Pin & công nghệ sạc\nPin\n5.000 mAh\nCông nghệ sạc\nSạc nhanh 18 W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-a04.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/1/5/15_19.jpg",0/5
Samsung Galaxy Z Fold3 5G,22.990.000 ₫,41.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n12 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nKhông'],['Pin & công nghệ sạc\nPin\n4400 mAh\nCông nghệ sạc\nSạc nhanh 25W\nSạc nhanh không dây: 10W\nSạc ngược không dây: 4.5W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-z-fold-3.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/g/a/galaxy-z-fold3-kv_5g__1p_cmyk.jpg",4.8/5
Xiaomi 13 Pro 12GB 256GB,28.490.000 ₫,29.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n12 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nKhông'],"['Pin & công nghệ sạc\nPin\n4820mAh\nCông nghệ sạc\nSạc nhanh 120W, Sạc nhanh không dây 50W, Sạc ngược không dây 10W\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/xiaomi-13-pro.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/1/3/13_prooo_3_.jpg",0/5
Tecno Pova 4 Pro 8GB 128GB,4.550.000 ₫,4.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nKhông'],['Pin & công nghệ sạc\nPin\n6000 mAh\nCông nghệ sạc\nSạc siêu nhanh 45W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/tecno-pova-4-pro.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/j/o/jowi_t_2_.jpg",0/5
OPPO A57,4.290.000 ₫,4.490.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n64 GB\nKhe cắm thẻ nhớ\nmicroSDXC, Hỗ trợ thẻ nhớ tối đa 1TB']",['Pin & công nghệ sạc\nPin\nLi-Po 5000 mAh\nCông nghệ sạc\nSạc nhanh 33W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/oppo-a57.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/c/o/combo_a57_-_black.jpg",5.0/5
Nubia Red Magic 6R (12GB - 256GB),11.990.000 ₫,17.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n12 GB\nBộ nhớ trong\n256 GB'],"['Pin & công nghệ sạc\nPin\nLi-Po 4200 mAh\nCông nghệ sạc\nSạc nhanh 30W, Power Delivery 3.0, Quick Charge 4\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/nubia-red-magic-6r-12gb-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/z/t/zte-nubia-red-magic-6r-1-600x600_1.jpg",0/5
Xiaomi POCO M5s 6GB 128GB,4.750.000 ₫,5.290.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n6 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nmicroSDXC'],['Pin & công nghệ sạc\nPin\nLi-Po 5000 mAh\nCông nghệ sạc\nSạc nhanh 33W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-poco-m5s-6gb-128gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/v/_/v_fn77_2.jpg",0/5
OPPO Reno8 5G 8GB 256GB,12.490.000 ₫,13.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB'],['Pin & công nghệ sạc\nPin\nLi-Po 4500 mAh\nCông nghệ sạc\nSạc siêu nhanh SuperVOOC\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/oppo-reno-8-5g.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/c/o/combo_product_-_reno8_5g_-_black.png",0/5
Samsung Galaxy S22 (8GB - 256GB),16.690.000 ₫,23.490.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nKhông'],"['Pin & công nghệ sạc\nPin\n3700 mAh\nCông nghệ sạc\nSạc siêu nhanh 25W, sạc không dây 15W\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/samsung-galaxy-s22-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/m/sm-s901_galaxys22_front_phantomwhite_211122_1.jpg",5.0/5
